Epoch,Loss_D,Loss_G
0,1.2828915359565567,0.5741207376534109
1,1.1102537525951532,0.6501936389761076
2,1.16593136807173,0.6452695294309058
3,1.1052437124989969,0.6667762786479287
4,1.1338036116315515,0.6681537946778766
5,1.1591769223055128,0.6808539065043571
6,1.1395174472371519,0.6874123869350602
7,1.1508020333822262,0.6889168111329579
8,1.14107436732034,0.6897028404704774
9,1.148183124500085,0.6902870453523667
10,1.1489752873531363,0.6908236259584268
11,1.1419368860471315,0.6912365756640777
12,1.1309674487588155,0.6915345919724986
13,1.141637834725459,0.6918529789092133
14,1.143258360209386,0.6920615111925326
15,1.1417966787986333,0.6922503332736084
16,1.1289519433817152,0.6923998085504078
17,1.1369963670303809,0.6925260060729242
18,1.1492875359993613,0.6926277847909137
19,1.1501568239696778,0.6927088540232642
20,1.1541762180749882,0.6927782614916069
21,1.1425391577225363,0.692836952802226
22,1.1350934291412818,0.692888735901585
23,1.1465152146407913,0.69293056518992
24,1.129668177162086,0.6929658965840524
25,1.1442488962115505,0.6929960692126448
26,1.1368780979135418,0.693020336041793
27,1.142041879793557,0.6930405046399786
28,1.138863685710654,0.6930579174289387
29,1.1273208619481292,0.6930727494355723
30,1.1293363939991314,0.6930851649842869
31,1.1324601957152562,0.6930955725809487
32,1.1314055972336405,0.6931040293603971
33,1.1345477314943766,0.6931110715997811
34,1.139788733661504,0.6931167429323355
35,1.135589765251012,0.6931214245314098
36,1.132365298534625,0.6931256253416367
37,1.1386467386345838,0.6931293254399168
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
