Epoch,Loss_D,Loss_G
0,1.505108843850826,0.5858862782874819
1,1.1600716723262934,0.6593740989160801
2,1.1286894290486753,0.6699221456907072
3,1.0608504500178342,0.68173796877018
4,1.1425408523385696,0.6793843081313602
5,1.1419201450453278,0.6779313098989139
6,1.0276469986741714,0.6891868698992123
7,1.0215179462459205,0.6902590351210115
8,1.0187210127793622,0.6907530733234974
9,1.0161105512914077,0.6912751772456406
10,1.1520748576406616,0.6732837051482491
11,1.016351210478261,0.6917564328862817
12,1.0128071667081084,0.6923896214250702
13,1.011623605180182,0.6925352347489878
14,1.010855259816291,0.6926084085064039
15,1.010198160429686,0.6926673039876295
16,1.0096707620673417,0.692719255363085
17,1.0091874833265062,0.6927678570233656
18,1.008792830764918,0.6928129807032274
19,1.0084317919299088,0.6928541890824038
20,1.0081604597318239,0.6928905517027523
21,1.0078932247767791,0.6929250165243834
22,1.0076615602930605,0.6929555202715963
23,1.0074695533151785,0.6929824177731466
24,1.0073223341235797,0.6930060003014559
25,1.0071702336079509,0.6930257630282344
26,1.007065697269545,0.6930445009502917
27,1.0069338801157408,0.6930601124276113
28,1.0068934049395566,0.6930734263269941
29,1.0067925038258674,0.6930847548318831
30,1.0066989120198877,0.6930944768104764
31,1.0066739396495714,0.6931027412743859
32,1.0066527562905412,0.6931097293426978
33,1.006635151844657,0.693115604516551
34,1.0066202635264527,0.6931205413288833
35,nan,nan
36,nan,nan
37,nan,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
