Epoch,Loss_D,Loss_G
1,1.584690574124373,0.3984274442683267
2,1.6653769747328364,0.3595701480768004
3,1.6737041868557587,0.3560857787645983
4,1.6774359625347413,0.35453384587777914
5,1.6805526670171411,0.35318344864397416
6,1.6817676316308712,0.35266704997305054
7,1.683525814535868,0.3519716883561888
8,1.684267207403868,0.35161050248541226
9,1.6848113912245186,0.35143072121051133
10,1.6848473950644225,0.3514022527478676
11,1.6854255298224603,0.3511922405569593
12,1.685985039610889,0.3509568489717515
13,1.6861659676989138,0.3508893472055045
14,1.6862171117772056,0.3509055904591281
